id,expected,action,valid_json,action_match,decomposition_sanity,condition_correctness,namespace_discipline,capsule_quality,manual_override_flag,notes
t01,EXECUTE,EXECUTE,1,1,,,1,,0,
t02,EXECUTE,EXECUTE,1,1,,,1,,0,
t03,EXECUTE,EXECUTE,1,1,,,1,,0,
t04,EXECUTE,EXECUTE,1,1,,,1,,0,
t05,EXECUTE,EXECUTE,1,1,,,1,,0,
t06,SPAWN,SPAWN,1,1,2,1,1,2,0,
t07,SPAWN,SPAWN,1,1,2,1,1,2,0,
t08,SPAWN,SPAWN,1,1,2,1,1,2,0,
t09,SPAWN,SPAWN,1,1,2,1,1,2,0,
t10,SPAWN,SPAWN,1,1,2,1,1,2,0,
t11,SPAWN,SPAWN,1,1,2,1,1,2,0,
t12,DEFER,DEFER,1,1,,,1,,0,
t13,DEFER,DEFER,1,1,,,1,,0,
t14,EXECUTE,EXECUTE,1,1,,,1,,0,
t15,SPAWN,SPAWN,1,1,2,1,1,2,0,
t16,EXECUTE,EXECUTE,1,1,,,1,,0,
t17,EXECUTE,EXECUTE,1,1,,,1,,0,
t18,SPAWN,SPAWN,1,1,2,1,1,2,0,
t19,SPAWN,SPAWN,1,1,2,1,1,2,0,
t20,EXECUTE,EXECUTE,1,1,,,1,,0,
